test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,AHfactor
0.5585,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5606,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5709,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5712,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5696,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5648,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5679,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5651,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5648,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5707,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5636,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.548,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5708,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5699,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5691,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.564,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5659,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5542,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5706,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5699,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5646,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5625,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5565,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5589,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5791,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5689,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5717,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.57,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5681,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5775,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5651,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5682,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5616,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
13,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.569,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5669,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5689,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5656,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5747,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5672,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5532,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5588,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5541,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5719,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.572,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5716,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5682,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5657,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.561,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5661,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5625,1,True,1,True,False,False,RePU,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5654,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1

0.5649,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5628,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5653,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5715,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5733,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5738,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5699,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5637,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5487,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.561,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5643,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5715,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5617,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5665,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5694,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5613,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5634,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5614,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5755,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5668,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5619,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5656,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5656,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5722,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5559,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5757,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5687,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5686,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5684,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5727,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5669,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5731,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5562,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5597,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5671,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5671,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5639,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5654,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.571,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5715,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.562,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5675,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5558,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5572,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5555,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5725,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5716,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5685,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5607,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5632,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5732,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5636,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5584,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
