test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,MHsigma

Hebbian classifier:

0.3366,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3265,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3417,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3326,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3381,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3477,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3393,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3457,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3401,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3466,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3381,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.339,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3393,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.335,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3361,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3328,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3439,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3297,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3367,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.332,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3287,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3362,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3312,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3373,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3492,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3334,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3372,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3377,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3284,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3

Gradient Classifier (Adam):

0.559,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5595,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5577,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5578,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5579,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.558,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.558,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5617,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5594,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5634,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5587,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.557,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5634,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5541,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5566,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5606,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5595,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5581,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5622,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5595,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5658,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5575,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5575,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.564,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5537,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5632,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5616,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3

Gradient Classifier (SGD):

0.3833,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3864,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3819,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3859,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3773,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.38,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3853,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.383,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3836,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3864,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3843,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3847,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3831,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3875,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3831,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3873,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3892,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3827,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3892,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3805,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3888,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.381,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3893,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3805,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3821,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3811,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3

Gradient Classifier (RMSProp):

0.4879,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5141,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5014,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5054,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5109,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5123,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.4917,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.4926,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5203,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5058,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5022,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.4974,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5162,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.505,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5239,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5074,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5091,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5084,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5059,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5244,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.516,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5075,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5097,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.502,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5039,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5098,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5165,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3


Hebbian with cross entropy:

